path,category,file_size,file_size_human,compressed_size,extension
overrides/config/betterdeserttemples/forge-1_20/README.txt,config,1683,1.64 KB,614,.txt
overrides/config/betterfortresses/README.txt,config,871,871 B,415,.txt
overrides/config/betterfortresses/forge-1_20/itemframes.json,config,901,901 B,264,.json
overrides/config/betterfortresses/forge-1_20/README.txt,config,1339,1.31 KB,573,.txt
overrides/config/betterstrongholds/README.txt,config,707,707 B,357,.txt
overrides/config/betterstrongholds/forge-1_20/armorstands.json,config,1131,1.10 KB,236,.json
overrides/config/betterstrongholds/forge-1_20/itemframes.json,config,680,680 B,230,.json
overrides/config/betterstrongholds/forge-1_20/ores.json,config,346,346 B,145,.json
overrides/config/betterstrongholds/forge-1_20/rareblocks.json,config,238,238 B,110,.json
overrides/config/betterstrongholds/forge-1_20/README.txt,config,2830,2.76 KB,842,.txt
overrides/config/bountiful/bountiful.json,config,384,384 B,221,.json
overrides/config/carpet/default_carpet.conf,config,192,192 B,141,.conf
overrides/config/carpetorgaddition/carpet-org-addition.json,config,534,534 B,219,.json
overrides/config/carpetorgaddition/profile.json,config,433,433 B,239,.json
overrides/config/carpettisaddition/lifetime/recorder_config.json,config,326,326 B,207,.json
overrides/config/carpettisaddition/mapping/yarn-1.21.1+build.3-v2.tiny,config,7283453,6.95 MB,1452418,.tiny
overrides/config/carpettisaddition/mapping/yarn_version.json,config,81,81 B,61,.json
overrides/config/cataclysm/amethyst_crab_spawns.json,config,147,147 B,101,.json
overrides/config/cataclysm/coral_golem_spawns.json,config,926,926 B,158,.json
overrides/config/cataclysm/deepling_angler_spawns.json,config,926,926 B,158,.json
overrides/config/cataclysm/deepling_brute_spawns.json,config,926,926 B,158,.json
overrides/config/cataclysm/deepling_priest_spawns.json,config,926,926 B,158,.json
overrides/config/cataclysm/deepling_spawns.json,config,926,926 B,158,.json
overrides/config/cataclysm/deepling_warlock_spawns.json,config,926,926 B,158,.json
overrides/config/cataclysm/koboleton_spawns.json,config,474,474 B,142,.json
overrides/config/chunky/config.json,config,146,146 B,110,.json
overrides/config/collective/checked.txt,config,111,111 B,98,.txt
overrides/config/CoroUtil/General.toml,config,133,133 B,84,.toml
overrides/config/cristellib/minecraftED.json5,config,1476,1.44 KB,490,.json5
overrides/config/cristellib/minecraftP.json5,config,1752,1.71 KB,599,.json5
overrides/config/fabric/indigo-renderer.properties,config,290,290 B,187,.properties
overrides/config/forgematica/forgematica_aam.rainplay.cn_28421.json,config,95,95 B,88,.json
overrides/config/forgematica/forgematica_aam.rainplay.cn_28421_dim_minecraft_overworld.json,config,734,734 B,293,.json
overrides/config/forgematica/forgematica_aam.rainplay.cn_29432.json,config,95,95 B,88,.json
overrides/config/forgematica/forgematica_aam.rainplay.cn_29432_dim_minecraft_overworld.json,config,740,740 B,310,.json
overrides/config/forgematica/forgematica_dust2.json,config,281,281 B,167,.json
overrides/config/forgematica/forgematica_dust2_dim_minecraft_overworld.json,config,737,737 B,307,.json
