path,relative_path,category,file_size,file_size_human,compressed_size,extension
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/t_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/t_key_pressed.png,resourcepacks,756,756 B,711,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/right_stick_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/right_stick_button_pressed.png,resourcepacks,386,386 B,396,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/esc_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/esc_key.png,resourcepacks,786,786 B,740,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/quote_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/quote_key.png,resourcepacks,290,290 B,300,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/dpad_down.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/dpad_down.png,resourcepacks,239,239 B,241,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/mouse_scroll_up.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/mouse_scroll_up.png,resourcepacks,672,672 B,682,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/sd/back_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/sd/back_button_pressed.png,resourcepacks,283,283 B,293,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/left_stick_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/left_stick_button_pressed.png,resourcepacks,252,252 B,262,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/0_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/0_key.png,resourcepacks,323,323 B,333,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/backslash_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/backslash_key.png,resourcepacks,301,301 B,311,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/dpad_down.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/dpad_down.png,resourcepacks,337,337 B,347,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/dpad_up.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/dpad_up.png,resourcepacks,201,201 B,207,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/left_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/left_button_pressed.png,resourcepacks,226,226 B,234,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/right_bracket_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/right_bracket_key_pressed.png,resourcepacks,379,379 B,389,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/back_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/back_button_pressed.png,resourcepacks,257,257 B,267,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/defaultwide/skinpacks/1/widesunny.cpmmodel,global_packs/required_resources/rcr-neoforge/assets/defaultwide/skinpacks/1/widesunny.cpmmodel,global_packs,10306,10.06 KB,8860,.cpmmodel
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/left_stick.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/left_stick.png,resourcepacks,530,530 B,540,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/left_shift_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/left_shift_key.png,resourcepacks,806,806 B,768,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/hd/start_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/hd/start_button_pressed.png,resourcepacks,281,281 B,291,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/right_bumper_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/right_bumper_pressed.png,resourcepacks,299,299 B,309,.png
