path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512
mods/[墓园] The_Graveyard_3.1_(FABRIC)_for_1.20.1.jar,10272185,9.80 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/QivVPB8W/versions/Hpn2GMza/The_Graveyard_3.1_%28FABRIC%29_for_1.20.1.jar,a5cb5de7f0cb9931cae5526eb310e4c3017b7cfe,d5c6d94109ec84910fa394116100203d0865c1b3856a269521dfbf5dd46ea55556af3446f509f7aef97d6e15636853b92258a98d695f275032177922496221e4
mods/[多态合成] polymorph-fabric-0.49.10+1.20.1.jar,680833,664.88 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/tagwiZkJ/versions/oARBy1is/polymorph-fabric-0.49.10%2B1.20.1.jar,2ffcd9f030e4bb1fe202710cbd945c7f44f880cf,2a4ab72bf6a925445fe4a8513720e26ffd47bda3e14ec5977809b533101e1a385d5a9c73bab3b2d4c6a41421f13eeeb665dab0440c6dfd16ba1a2464c46dfbbe
mods/[失落城堡] tlc-fabric-1.20.X-1.2.0-eyeSpy.jar,712243,695.55 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/FGlHZl7X/versions/9B9A85bd/tlc-fabric-1.20.X-1.2.0-eyeSpy.jar,95ea92c46002a9b4538870e61d97aaedf98d6f42,89dd6610799468bd068d20a92ecc42c4bd41619c2724db0c5e71a37bc81dd609268b04a2d47d7bec4f89c4fae9c0b94c0b2c6c03ed0f224d8680e88db79ad1a8
mods/[奇异饰品] artifacts-fabric-9.5.15.jar,960085,937.58 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/P0Mu4wcQ/versions/jf0yT7BF/artifacts-fabric-9.5.15.jar,420561e2963aedf267ea617f059a69bba7b142c0,317c1f5a7b48d003a59b04cc00795299be7d0950ef834f29d9dd8bc1a0d02fb2b9241b4ee3bbca757a70d6ec338680c9a8f531c81a1eaad3e7712852737d0464
mods/[字幕高亮] Subtitle-Highlight-11_1.20-1.20.1.jar,46840,45.74 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/BfdnU8IS/versions/6quXmESv/Subtitle-Highlight-11_1.20-1.20.1.jar,8bb08d3dc44d8e51e60d7dc74bd2ba61a432c0a2,3262519f3ba00e2bf21724d3596257e2e4654fecacc9cad7106c28fe33dbbd2e7ad29fedc4c954ba4646c5efc89ca3a1d52aa0ef6eb13c365d6b73cb27a120f0
mods/[存档置顶] cherishedworlds-fabric-6.1.7+1.20.1.jar,65739,64.20 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/3azQ6p0W/versions/K58Y722e/cherishedworlds-fabric-6.1.7%2B1.20.1.jar,da9ecf9e350accf60a2f428217f336631b03d603,1472b333e65e40d447e2967a83949d32daa68a008b52248117b825b763784872aefc29709c6c67e1175c1d8706710a2e48f8510f291f53562371fb3cf1c4e65f
mods/[实体模型特性] entity_model_features_1.20.1-fabric-3.0.12.jar,496324,484.69 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/4I1XuqiY/versions/NdOVYyQg/entity_model_features_1.20.1-fabric-3.0.12.jar,9001e7e0c4a74d5f7c102e45b1fb92f5189984b1,cf8f7388c63194a700faccfed307e83d7e577d349852e1987cf2b0fcf56a3860aee98b20cd55a8f0c886adcbe0014bfb516d2a11059bdd597881238b574e3fd5
mods/[实体渲染机制优化] entityculling-fabric-1.9.5-mc1.20.1.jar,1561882,1.49 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/NNAgCjsB/versions/QFXoqZHC/entityculling-fabric-1.9.5-mc1.20.1.jar,d82ff7418e16ef89afa123127e3fb945983cdf70,0ffa7d795218d5be09ac32a39ae2f1b139f06949d2ba19b9fe66ab73ee0c3c51f2e410b234e3c2e40d5d1c12c6a417f4c7f30ced63325e61491cdd9c1fa6edbf
mods/[实体纹理特性] entity_texture_features_1.20.1-fabric-7.0.9.jar,736086,718.83 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/BVzZfTc1/versions/rb5Jqzmh/entity_texture_features_1.20.1-fabric-7.0.9.jar,6c36f10621d1ff9ac9f615ab4bdbb74bf9c3a409,2d563ce3cbb093c720663d595e9ed4827a27ce2c371a778cb4b349f23792606926be439c2adfde3828469e0f09f8945b5ae46cd50f3f77370f2e5d1f735906e7
mods/[宠物可重生] respawnablepets-1.20-1.jar,271590,265.22 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/gbFe1FWa/versions/Q5VMPADX/respawnablepets-1.20-1.jar,122365680f10fa208a77dbc26309830c4da83e4f,583b6cdb7ea4615a5e848ac0530b75a86ba1e6fcc4ea677456f86efef53858dd45746ebfc8287bb1246e558face38c9eda439feedbd5d6834eb994cc8ee97ac4
mods/[小骷髅变种] TinySkeletons-v8.0.1-1.20.1-Fabric.jar,90644,88.52 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/A2xcMSUn/versions/pPzF5vy3/TinySkeletons-v8.0.1-1.20.1-Fabric.jar,f91764a744e282fc8656142eaaf13966e6add76c,bc4cdcc0a62d3663a002d378b278791d9297e92d8c585608cea2e606f59febfc61284f711aeed5d210731c6b99150c7e40791ab32ab6984bbf14282a79625dda
mods/[属性修复] AttributeFix-Fabric-1.20.1-21.0.5.jar,17550,17.14 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/lOOpEntO/versions/9PvB3nqH/AttributeFix-Fabric-1.20.1-21.0.5.jar,181c94abb434890b4d1422544b8e400b73b6f8c6,b81d4823077acc00a669a359ec2f1c49c3f42bc765e96c1a793ceed2f41517600aea29548bde8a2f5a8f5bcddd95f6ff8e49a64062a6148b12dfaa85c5781b2c
mods/[帕秋莉手册] Patchouli-1.20.1-84.1-FABRIC.jar,857105,837.02 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/nU0bVIaL/versions/Muu5nGmj/Patchouli-1.20.1-84.1-FABRIC.jar,ac0b6b19b150fcb97dc037df26a298ab93f2cd90,a08ae7db9381bf44ff5a22e5fa0cc44ff744fe220df6c88863eded09274786609e8705dc6a31f70c072127c81255a413d37aa479dd2aaf07bc7ed0c822e0a070
mods/[席地而坐] sit-1.20.1-27.jar,64238,62.73 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/VKXzIykF/versions/48GA44kI/sit-1.20.1-27.jar,7a2d4e1fd19b5cb8948579ef72dd1467c6c3515f,672d85dcf27e2f4cf6ba24fe39d0cd770fea013fdb73426d959816b4b61741cadb384d0add383005337adb24cce8fe292397cef0c3a074958736c13cc70cfaa1
